2022-11-25 16:35:28,951, DEBUG, 123, root
2022-11-25 16:35:28,951, INFO, Р РЋР С•Р С•Р В±РЎвЂ°Р ВµР Р…Р С‘Р Вµ Р С•РЎвЂљР С—РЎР‚Р В°Р Р†Р В»Р ВµР Р…Р С•, root
2022-11-25 16:35:28,952, WARNING, Р вЂР С•Р В»РЎРЉРЎв‚¬Р В°РЎРЏ Р Р…Р В°Р С–РЎР‚РЎС“Р В·Р С”Р В°!, root
2022-11-25 16:35:28,952, ERROR, Р вЂР С•РЎвЂљ Р Р…Р Вµ РЎРѓР СР С•Р С– Р С•РЎвЂљР С—РЎР‚Р В°Р Р†Р С‘РЎвЂљРЎРЉ РЎРѓР С•Р С•Р В±РЎвЂ°Р ВµР Р…Р С‘Р Вµ, root
2022-11-25 16:35:28,952, CRITICAL, Р вЂ™РЎРѓРЎвЂ РЎС“Р С—Р В°Р В»Р С•! Р вЂ”Р С•Р Р†Р С‘РЎвЂљР Вµ Р В°Р Т‘Р СР С‘Р Р…Р В°!1!111, root
2022-11-26 11:22:35,729, DEBUG, 123, root
2022-11-26 11:22:35,729, INFO, РЎРѕРѕР±С‰РµРЅРёРµ РѕС‚РїСЂР°РІР»РµРЅРѕ, root
2022-11-26 11:22:35,730, WARNING, Р‘РѕР»СЊС€Р°СЏ РЅР°РіСЂСѓР·РєР°!, root
2022-11-26 11:22:35,730, ERROR, Р‘РѕС‚ РЅРµ СЃРјРѕРі РѕС‚РїСЂР°РІРёС‚СЊ СЃРѕРѕР±С‰РµРЅРёРµ, root
2022-11-26 11:22:35,730, CRITICAL, Р’СЃС‘ СѓРїР°Р»Рѕ! Р—РѕРІРёС‚Рµ Р°РґРјРёРЅР°!1!111, root
2022-11-26 16:52:21,196, INFO, Сообщение отправлено, __main__
2022-11-26 16:52:21,196, WARNING, Большая нагрузка!, __main__
2022-11-26 16:52:21,197, ERROR, Бот не смог отправить сообщение, __main__
2022-11-26 16:52:21,197, CRITICAL, Всё упало! Зовите админа!1!111, __main__
2022-11-26 16:52:21,197, DEBUG, 123, root
2022-11-26 16:52:21,197, INFO, Сообщение отправлено, root
2022-11-26 16:52:21,197, WARNING, Большая нагрузка!, root
2022-11-26 16:52:21,197, ERROR, Бот не смог отправить сообщение, root
2022-11-26 16:52:21,197, CRITICAL, Всё упало! Зовите админа!1!111, root
2022-11-26 16:57:43,105, INFO, Сообщение отправлено, __main__
2022-11-26 16:57:43,105, WARNING, Большая нагрузка!, __main__
2022-11-26 16:57:43,106, ERROR, Бот не смог отправить сообщение, __main__
2022-11-26 16:57:43,106, CRITICAL, Всё упало! Зовите админа!1!111, __main__
2022-11-26 16:57:43,106, DEBUG, 123, root
2022-11-26 16:57:43,106, INFO, Сообщение отправлено, root
2022-11-26 16:57:43,106, WARNING, Большая нагрузка!, root
2022-11-26 16:57:43,106, ERROR, Бот не смог отправить сообщение, root
2022-11-26 16:57:43,106, CRITICAL, Всё упало! Зовите админа!1!111, root
